Date,Price
1/2/2008,194.84
1/3/2008,194.93
1/4/2008,180.05
1/7/2008,177.64
1/8/2008,171.25
1/9/2008,179.4
1/10/2008,178.02
1/11/2008,172.69
1/14/2008,178.78
1/15/2008,169.04
1/16/2008,159.64
1/17/2008,160.89
1/18/2008,161.36
1/22/2008,155.64
1/23/2008,139.07
1/24/2008,135.6
1/25/2008,130.01
1/28/2008,130.01
1/29/2008,131.54
1/30/2008,132.18
1/31/2008,135.36
2/1/2008,133.75
2/4/2008,131.65
2/5/2008,129.36
2/6/2008,122
2/7/2008,121.24
2/8/2008,125.48
2/11/2008,129.45
2/12/2008,124.86
2/13/2008,129.4
2/14/2008,127.46
2/15/2008,124.63
2/19/2008,122.18
2/20/2008,123.82
2/21/2008,121.54
2/22/2008,119.46
2/25/2008,119.74
2/26/2008,119.15
2/27/2008,122.96
2/28/2008,129.91
2/29/2008,125.02
3/3/2008,121.73
3/4/2008,124.62
3/5/2008,124.49
3/6/2008,120.93
3/7/2008,122.25
3/10/2008,119.69
3/11/2008,127.35
3/12/2008,126.03
3/13/2008,127.94
3/14/2008,126.61
3/17/2008,126.73
3/18/2008,132.82
3/19/2008,129.67
3/20/2008,133.27
3/24/2008,139.53
3/25/2008,140.98
3/26/2008,145.06
3/27/2008,140.25
3/28/2008,143.01
3/31/2008,143.5
4/1/2008,149.53
4/2/2008,147.49
4/3/2008,151.61
4/4/2008,153.08
4/7/2008,155.89
4/8/2008,152.84
4/9/2008,151.44
4/10/2008,154.55
4/11/2008,147.14
4/14/2008,147.78
4/15/2008,148.38
4/16/2008,153.7
4/17/2008,154.49
4/18/2008,161.04
4/21/2008,168.16
4/22/2008,160.2
4/23/2008,162.89
4/24/2008,168.94
4/25/2008,169.73
4/28/2008,172.24
4/29/2008,175.05
4/30/2008,173.95
5/1/2008,180
5/2/2008,180.94
5/5/2008,184.73
5/6/2008,186.66
5/7/2008,182.59
5/8/2008,185.06
5/9/2008,183.45
5/12/2008,188.16
5/13/2008,189.96
5/14/2008,186.26
5/15/2008,189.73
5/16/2008,187.62
5/19/2008,183.6
5/20/2008,185.9
5/21/2008,178.19
5/22/2008,177.05
5/23/2008,181.17
5/27/2008,186.43
5/28/2008,187.01
5/29/2008,186.69
5/30/2008,188.75
6/2/2008,186.1
6/3/2008,185.37
6/4/2008,185.19
6/5/2008,189.43
6/6/2008,185.64
6/9/2008,181.61
6/10/2008,185.64
6/11/2008,180.81
6/12/2008,173.26
6/13/2008,172.37
6/16/2008,176.84
6/17/2008,181.43
6/18/2008,178.75
6/19/2008,180.9
6/20/2008,175.27
6/23/2008,173.16
6/24/2008,173.25
6/25/2008,177.39
6/26/2008,168.26
6/27/2008,170.09
6/30/2008,167.44
7/1/2008,174.68
7/2/2008,168.18
7/3/2008,170.12
7/7/2008,175.16
7/8/2008,179.55
7/9/2008,174.25
7/10/2008,176.63
7/11/2008,172.58
7/14/2008,173.88
7/15/2008,169.64
7/16/2008,172.81
